id,ever_married,work_type,Residence_type
34060,Yes,Self-employed,Rural
43424,Yes,Private,Rural
30669,No,children,Rural
30468,Yes,Private,Urban
16523,No,Private,Urban
56543,Yes,Private,Rural
46136,No,Never_worked,Rural
32257,Yes,Private,Urban
52800,Yes,Private,Urban
41413,Yes,Self-employed,Rural
15266,Yes,Private,Rural
28674,Yes,Self-employed,Urban
10460,Yes,Govt_job,Urban
64908,Yes,Private,Urban
63884,Yes,Private,Rural
37893,Yes,Private,Rural
67855,Yes,Private,Rural
25774,No,Private,Rural
19584,No,Private,Urban
24447,Yes,Private,Rural
49589,Yes,Govt_job,Urban
17986,Yes,Self-employed,Urban
29217,Yes,Private,Rural
72911,Yes,Private,Rural
47175,Yes,Private,Rural
4057,Yes,Private,Urban
48588,Yes,Private,Urban
70336,Yes,Private,Urban
66767,Yes,Govt_job,Rural
45801,No,Private,Rural
36275,Yes,Private,Rural
11577,Yes,Self-employed,Rural
67210,Yes,Self-employed,Urban
29908,Yes,Private,Urban
45222,No,Private,Urban
33759,No,children,Urban
40311,Yes,Private,Urban
26325,No,Govt_job,Urban
65460,Yes,Private,Rural
36811,No,Private,Urban
71750,Yes,Private,Urban
70970,No,Self-employed,Urban
42203,Yes,Private,Urban
55680,No,children,Urban
11014,No,children,Rural
44338,No,children,Rural
20980,Yes,Private,Urban
34974,No,Private,Rural
71379,Yes,Govt_job,Urban
58261,Yes,Private,Rural
67318,Yes,Govt_job,Rural
28526,Yes,Self-employed,Rural
8831,Yes,Private,Rural
65199,Yes,Self-employed,Urban
43454,No,Self-employed,Urban
7282,Yes,Private,Rural
18518,Yes,Private,Rural
41648,Yes,Private,Rural
49003,Yes,Private,Urban
16371,No,children,Urban
42807,Yes,Govt_job,Urban
40181,Yes,Private,Urban
66174,Yes,Self-employed,Rural
45538,Yes,Self-employed,Rural
6319,Yes,Private,Urban
68249,Yes,Private,Rural
55232,Yes,Private,Rural
11120,Yes,Private,Urban
41940,Yes,Private,Rural
72214,Yes,Self-employed,Urban
37089,Yes,Self-employed,Rural
68614,Yes,Private,Rural
1686,No,Private,Urban
22284,No,Private,Rural
39038,No,children,Rural
21956,No,Private,Urban
52134,Yes,Private,Rural
30171,No,Govt_job,Urban
4480,Yes,Private,Rural
2982,Yes,Private,Rural
65535,No,children,Rural
29865,No,Private,Rural
54918,No,Private,Rural
59368,Yes,Private,Urban
65836,Yes,Private,Urban
21130,Yes,Self-employed,Urban
1703,Yes,Private,Urban
16934,Yes,Self-employed,Rural
28799,No,children,Rural
32689,Yes,Private,Urban
56357,No,Private,Urban
18051,Yes,Govt_job,Rural
40840,Yes,Private,Rural
10449,Yes,Private,Urban
38805,Yes,Private,Rural
31091,Yes,Private,Urban
45053,Yes,Govt_job,Urban
61837,Yes,Self-employed,Urban
9487,No,Private,Urban
49713,Yes,Private,Rural
17608,Yes,Govt_job,Urban
28102,No,Private,Rural
1506,No,Govt_job,Urban
28333,Yes,Self-employed,Urban
62608,Yes,Private,Urban
40670,No,Private,Rural
4630,Yes,Private,Rural
21284,Yes,Private,Urban
49421,Yes,Private,Rural
5973,Yes,Private,Urban
42996,No,Govt_job,Rural
66333,Yes,Self-employed,Urban
46785,Yes,Private,Urban
54312,Yes,Self-employed,Urban
21408,Yes,Self-employed,Rural
49916,Yes,Private,Rural
7559,No,children,Urban
71038,Yes,Private,Urban
69037,Yes,Private,Rural
58617,Yes,Self-employed,Rural
69064,No,Self-employed,Rural
9404,Yes,Private,Rural
8171,No,children,Rural
28286,Yes,Private,Rural
43232,No,Private,Urban
10159,Yes,Private,Urban
34402,Yes,Private,Rural
58282,Yes,Govt_job,Rural
64489,Yes,Govt_job,Rural
22706,No,children,Rural
71539,No,Private,Urban
28637,No,children,Rural
64553,Yes,Private,Rural
31741,No,children,Rural
69936,Yes,Private,Urban
46527,Yes,Govt_job,Rural
22537,No,children,Rural
50611,No,children,Rural
13547,Yes,Private,Urban
63732,Yes,Self-employed,Urban
9608,No,Private,Urban
10504,Yes,Govt_job,Rural
37090,Yes,Private,Rural
60148,Yes,Private,Urban
9637,Yes,Private,Rural
44862,Yes,Private,Rural
52173,No,Self-employed,Urban
5708,No,Private,Urban
23462,No,Private,Urban
2374,Yes,Private,Rural
11091,Yes,Self-employed,Rural
70374,Yes,Private,Rural
15528,Yes,Private,Rural
65357,No,children,Rural
49465,No,children,Urban
31143,No,Private,Rural
66972,Yes,Govt_job,Urban
55810,Yes,Self-employed,Rural
37031,Yes,Govt_job,Urban
34608,Yes,Private,Rural
36007,Yes,Private,Rural
14123,Yes,Private,Rural
48298,Yes,Private,Rural
54975,No,Self-employed,Rural
27213,Yes,Self-employed,Rural
44749,No,Govt_job,Rural
46468,Yes,Self-employed,Urban
10913,No,children,Urban
51983,Yes,Private,Rural
27029,No,children,Urban
22320,Yes,Private,Urban
45719,No,Private,Rural
129,No,Private,Urban
20351,Yes,Govt_job,Urban
530,No,children,Rural
55351,Yes,Private,Urban
67431,Yes,Private,Urban
20546,Yes,Private,Urban
6107,No,children,Urban
50305,Yes,Private,Rural
52342,Yes,Private,Rural
59906,Yes,Private,Rural
59729,Yes,Private,Urban
53144,Yes,Private,Urban
3655,Yes,Govt_job,Rural
11999,Yes,Govt_job,Rural
12985,Yes,Self-employed,Rural
38119,Yes,Govt_job,Urban
3355,Yes,Private,Urban
22091,Yes,Self-employed,Urban
5010,No,children,Rural
67177,Yes,Private,Rural
58600,Yes,Private,Urban
56681,No,Private,Urban
56716,No,Private,Urban
65946,Yes,Private,Rural
61350,No,Govt_job,Rural
17291,Yes,Self-employed,Rural
61465,No,children,Rural
18108,No,Govt_job,Urban
48368,Yes,Self-employed,Rural
36471,Yes,Private,Urban
15689,Yes,Govt_job,Urban
8233,Yes,Self-employed,Rural
46436,No,children,Urban
23221,No,Private,Urban
31830,Yes,Self-employed,Urban
15296,Yes,Private,Rural
7351,No,Private,Urban
66196,No,Private,Rural
17718,Yes,Private,Urban
31164,Yes,Private,Rural
48272,No,children,Rural
2893,No,children,Rural
34376,No,children,Rural
18498,No,Private,Rural
56735,Yes,Self-employed,Rural
8595,Yes,Private,Rural
621,Yes,Private,Rural
1307,Yes,Private,Rural
35846,No,Self-employed,Rural
28645,Yes,Private,Urban
5835,Yes,Private,Urban
46474,Yes,Private,Rural
69687,No,Self-employed,Rural
2953,Yes,Private,Rural
11838,Yes,Govt_job,Rural
9179,No,Private,Urban
38165,No,Private,Rural
63050,No,Private,Rural
22470,Yes,Govt_job,Urban
71585,Yes,Govt_job,Urban
15649,Yes,Private,Rural
11974,No,children,Urban
3009,Yes,Self-employed,Rural
32361,Yes,Self-employed,Urban
41523,No,children,Rural
53910,Yes,Self-employed,Rural
67548,Yes,Private,Urban
50441,No,Private,Rural
16927,Yes,Private,Rural
28265,Yes,Self-employed,Rural
33404,Yes,Private,Urban
50965,No,Private,Rural
21077,Yes,Private,Rural
12982,Yes,Self-employed,Urban
66570,No,Private,Rural
29158,Yes,Private,Rural
34299,Yes,Private,Urban
54375,No,children,Rural
37832,No,children,Rural
21058,No,children,Rural
7696,No,Private,Urban
34668,Yes,Private,Urban
68483,Yes,Private,Urban
6072,Yes,Private,Urban
51112,Yes,Self-employed,Urban
69673,Yes,Govt_job,Urban
71238,Yes,Private,Rural
63958,Yes,Private,Urban
34511,Yes,Private,Rural
24892,Yes,Private,Rural
29496,Yes,Private,Rural
19939,Yes,Private,Rural
27832,Yes,Private,Rural
27757,Yes,Private,Urban
31279,No,Private,Urban
25099,No,Govt_job,Rural
67733,Yes,Private,Urban
9201,Yes,Self-employed,Urban
33123,Yes,Self-employed,Rural
21713,Yes,Private,Urban
22622,No,children,Rural
6726,Yes,Private,Urban
17242,Yes,Self-employed,Urban
16380,Yes,Private,Rural
9729,Yes,Private,Urban
56974,Yes,Govt_job,Urban
29933,No,children,Rural
65574,Yes,Private,Urban
17019,Yes,Govt_job,Urban
41800,Yes,Private,Rural
7621,Yes,Private,Rural
6855,Yes,Self-employed,Urban
5374,No,Private,Rural
31564,Yes,Private,Rural
26028,Yes,Private,Urban
71808,No,Private,Urban
56998,No,children,Urban
14712,Yes,Private,Urban
23094,Yes,Self-employed,Urban
43134,No,Private,Rural
40622,Yes,Private,Rural
39383,Yes,Private,Urban
63606,Yes,Govt_job,Urban
46438,Yes,Self-employed,Urban
65144,Yes,Self-employed,Urban
545,Yes,Private,Rural
36331,No,Private,Rural
42359,No,children,Urban
20751,Yes,Private,Rural
34641,No,Private,Rural
15791,Yes,Private,Urban
68241,No,children,Urban
67780,Yes,Private,Urban
68275,Yes,Private,Urban
13129,Yes,Self-employed,Rural
60902,No,children,Rural
37629,No,Private,Rural
58439,No,Private,Urban
62936,Yes,Private,Urban
29010,No,children,Rural
36561,Yes,Govt_job,Rural
44912,No,children,Urban
59829,Yes,Private,Urban
45238,No,children,Urban
47811,Yes,Self-employed,Urban
61511,No,children,Rural
55424,Yes,Private,Rural
36942,No,Private,Urban
61697,No,Private,Rural
55138,No,Self-employed,Urban
39399,No,Self-employed,Urban
17148,Yes,Private,Urban
721,Yes,Self-employed,Urban
40448,Yes,Private,Urban
58007,Yes,Private,Urban
15095,No,Private,Urban
11960,Yes,Private,Rural
56179,No,Private,Urban
24592,Yes,Private,Urban
67744,No,Private,Urban
8328,Yes,Private,Rural
32437,Yes,Self-employed,Urban
44315,No,Self-employed,Rural
68245,Yes,Private,Rural
25483,Yes,Private,Rural
47732,No,children,Rural
50118,Yes,Private,Rural
55420,No,Private,Rural
55709,Yes,Self-employed,Urban
15311,Yes,Private,Urban
53660,Yes,Private,Urban
56553,Yes,Private,Urban
30480,Yes,Private,Urban
31988,Yes,Private,Urban
59807,Yes,Private,Urban
45585,Yes,Private,Urban
39639,Yes,Private,Rural
52063,Yes,Self-employed,Urban
40639,No,children,Rural
31090,No,children,Rural
64174,Yes,Private,Urban
8544,No,Self-employed,Rural
27377,Yes,Private,Rural
3361,Yes,Govt_job,Rural
61408,No,Never_worked,Urban
33552,Yes,Private,Rural
31364,No,children,Urban
7446,Yes,Private,Urban
9906,No,children,Urban
65130,Yes,Private,Rural
27794,No,children,Rural
48993,Yes,Private,Rural
30753,Yes,Govt_job,Urban
46809,Yes,Private,Rural
22853,No,Self-employed,Rural
12465,No,Private,Rural
64849,Yes,Private,Urban
39659,Yes,Govt_job,Urban
24183,Yes,Govt_job,Rural
71533,Yes,Private,Urban
35565,Yes,Private,Urban
34558,Yes,Private,Rural
42553,Yes,Private,Rural
39601,Yes,Private,Urban
46891,Yes,Private,Rural
38987,Yes,Self-employed,Urban
21886,Yes,Private,Urban
5353,No,Private,Rural
44300,Yes,Govt_job,Urban
48144,No,Govt_job,Rural
46218,Yes,Self-employed,Urban
39745,Yes,Self-employed,Rural
13517,Yes,Private,Urban
36355,Yes,Govt_job,Rural
22678,Yes,Govt_job,Urban
2532,No,Private,Rural
52512,Yes,Private,Rural
3579,Yes,Private,Urban
3130,Yes,Private,Rural
5545,Yes,Self-employed,Urban
63693,No,Private,Urban
34363,Yes,Private,Urban
23650,No,children,Rural
53515,Yes,Private,Rural
33528,Yes,Self-employed,Urban
23046,Yes,Self-employed,Urban
11068,Yes,Self-employed,Urban
62233,No,Self-employed,Urban
7291,No,Private,Urban
36814,Yes,Private,Rural
48265,Yes,Govt_job,Rural
10139,Yes,Self-employed,Urban
12662,Yes,Self-employed,Urban
43174,Yes,Private,Urban
72823,Yes,Private,Urban
30567,Yes,Private,Urban
41927,Yes,Private,Rural
54866,No,children,Rural
20364,No,children,Urban
21117,No,Self-employed,Rural
50491,Yes,Self-employed,Urban
61013,No,Private,Rural
71010,No,Self-employed,Urban
23551,Yes,Private,Urban
10997,Yes,Private,Rural
12738,Yes,Private,Rural
57772,Yes,Govt_job,Rural
16615,Yes,Self-employed,Rural
62999,No,children,Rural
68995,No,Private,Rural
66184,Yes,Govt_job,Rural
53010,Yes,Self-employed,Rural
967,Yes,Private,Urban
31145,No,Private,Urban
54338,Yes,Govt_job,Rural
22870,No,children,Urban
13223,Yes,Govt_job,Rural
57523,Yes,Private,Urban
67932,Yes,Private,Rural
10255,Yes,Private,Rural
68131,No,Private,Rural
29873,Yes,Govt_job,Urban
54182,No,Private,Rural
61300,No,Private,Urban
15274,No,children,Rural
53016,No,children,Urban
28848,No,Private,Urban
27012,No,Private,Urban
7745,Yes,Private,Urban
20541,Yes,Private,Rural
5892,Yes,Private,Rural
66883,Yes,Self-employed,Urban
43196,Yes,Self-employed,Urban
12593,No,Private,Urban
51514,No,children,Urban
15553,Yes,Private,Rural
45796,Yes,Private,Rural
31840,No,children,Rural
58767,Yes,Private,Urban
14391,Yes,Private,Rural
22321,Yes,Private,Urban
38184,Yes,Private,Rural
13997,Yes,Private,Urban
41673,Yes,Private,Rural
27796,Yes,Private,Urban
18390,No,Private,Rural
63409,Yes,Private,Urban
9752,Yes,Govt_job,Rural
72882,Yes,Private,Rural
49744,Yes,Private,Urban
49086,No,Private,Urban
40866,Yes,Self-employed,Rural
47523,No,Self-employed,Rural
63561,Yes,Private,Urban
51422,Yes,Private,Rural
56870,No,Private,Rural
3590,No,Private,Rural
60665,No,Private,Urban
40791,No,children,Rural
54304,Yes,Private,Urban
22485,Yes,Private,Urban
18430,Yes,Self-employed,Urban
19234,No,Private,Rural
52454,No,children,Rural
13365,Yes,Private,Rural
60983,Yes,Private,Urban
14615,No,Private,Urban
50277,Yes,Self-employed,Rural
50811,No,Private,Urban
16575,No,Private,Rural
1246,Yes,Govt_job,Rural
11176,No,children,Rural
30712,Yes,Private,Urban
31308,Yes,Private,Urban
9612,No,children,Urban
3325,Yes,Self-employed,Rural
52808,Yes,Private,Urban
41513,Yes,Private,Urban
36109,Yes,Private,Urban
53336,Yes,Govt_job,Urban
56831,Yes,Private,Urban
52580,No,Private,Rural
55592,Yes,Private,Rural
33723,No,children,Urban
26235,No,Private,Rural
16685,Yes,Private,Urban
44583,Yes,Private,Rural
25315,Yes,Private,Urban
58227,Yes,Govt_job,Rural
60810,Yes,Self-employed,Urban
34612,Yes,Govt_job,Rural
8320,No,children,Rural
25595,Yes,Private,Urban
30550,No,Private,Urban
49529,No,children,Urban
13367,Yes,Private,Rural
33585,Yes,Private,Rural
49785,No,Private,Rural
6886,No,Private,Rural
38609,Yes,Govt_job,Rural
22159,No,Private,Urban
37413,Yes,Private,Urban
4169,No,Private,Rural
40055,No,Private,Rural
18888,Yes,Private,Urban
45283,Yes,Private,Urban
42503,Yes,Private,Rural
23645,No,Private,Rural
62382,Yes,Private,Urban
59521,Yes,Private,Rural
55386,Yes,Private,Rural
22685,No,Private,Rural
46745,Yes,Govt_job,Rural
72547,Yes,Private,Rural
26973,Yes,Private,Urban
41033,Yes,Govt_job,Rural
5046,No,Self-employed,Urban
71442,Yes,Private,Rural
49624,Yes,Private,Urban
10572,Yes,Private,Rural
55847,No,Private,Rural
42441,No,children,Urban
28910,Yes,Private,Urban
10381,Yes,Self-employed,Urban
14387,No,children,Urban
31956,Yes,Private,Urban
17813,Yes,Private,Rural
24665,Yes,Private,Rural
13683,Yes,Private,Urban
7387,Yes,Private,Rural
57011,Yes,Private,Rural
22384,Yes,Private,Rural
24108,No,Private,Urban
50053,No,Private,Urban
69427,No,Private,Urban
21688,Yes,Private,Rural
60777,Yes,Govt_job,Rural
64732,No,Private,Urban
42710,No,Private,Urban
46683,No,Private,Urban
58909,No,children,Rural
51125,Yes,Private,Urban
29077,Yes,Private,Rural
4970,Yes,Self-employed,Rural
58291,Yes,Private,Rural
18616,Yes,Private,Urban
99,No,Private,Urban
55529,Yes,Private,Rural
12204,No,Govt_job,Rural
21397,Yes,Govt_job,Urban
64633,Yes,Private,Urban
23016,Yes,Private,Rural
18412,Yes,Private,Rural
67412,Yes,Private,Rural
37545,No,Govt_job,Urban
10324,No,children,Urban
14491,Yes,Govt_job,Urban
64582,Yes,Govt_job,Rural
25514,No,children,Rural
7663,No,Govt_job,Rural
66220,Yes,Private,Urban
71793,No,Private,Urban
25458,Yes,Govt_job,Rural
69645,Yes,Govt_job,Rural
53695,Yes,Govt_job,Urban
26692,Yes,Govt_job,Rural
33400,Yes,Govt_job,Rural
67078,Yes,Private,Urban
32352,Yes,Govt_job,Rural
22540,Yes,Govt_job,Urban
26999,Yes,Govt_job,Rural
65218,No,children,Rural
30102,Yes,Private,Rural
49521,Yes,Private,Urban
54643,No,children,Rural
29134,Yes,Private,Rural
68281,Yes,Govt_job,Urban
40350,No,Private,Urban
33410,No,Govt_job,Urban
39375,Yes,Private,Rural
2543,Yes,Private,Rural
45289,No,children,Urban
12106,Yes,Govt_job,Rural
10792,No,Private,Rural
19153,No,Self-employed,Urban
47876,No,children,Rural
25283,Yes,Private,Urban
12270,Yes,Govt_job,Rural
49949,Yes,Private,Urban
50826,Yes,Govt_job,Rural
28681,Yes,Self-employed,Urban
41615,No,children,Rural
14147,Yes,Private,Urban
41537,No,Private,Rural
62332,Yes,Private,Rural
25488,Yes,Self-employed,Urban
45759,Yes,Private,Rural
71929,No,children,Rural
14807,Yes,Private,Urban
16110,No,Private,Rural
40970,Yes,Private,Urban
28933,Yes,Private,Rural
11709,No,Private,Urban
37154,Yes,Private,Urban
16809,Yes,Private,Urban
13907,Yes,Self-employed,Rural
2314,Yes,Private,Urban
70380,No,Private,Urban
63058,Yes,Private,Rural
54071,Yes,Private,Urban
67405,Yes,Private,Urban
28024,Yes,Private,Rural
11730,Yes,Govt_job,Rural
2549,No,Private,Rural
17245,Yes,Private,Rural
70852,Yes,Private,Rural
60957,Yes,Private,Rural
19742,Yes,Private,Urban
10782,No,children,Rural
61742,No,Private,Urban
4808,Yes,Self-employed,Urban
13571,Yes,Govt_job,Urban
49928,Yes,Govt_job,Rural
52688,Yes,Private,Rural
24099,No,Private,Rural
65698,Yes,Private,Urban
47885,Yes,Self-employed,Urban
13948,No,Never_worked,Urban
17351,Yes,Private,Rural
820,Yes,Private,Rural
55721,Yes,Self-employed,Urban
72310,Yes,Self-employed,Urban
24115,Yes,Private,Rural
65766,No,Private,Rural
42482,No,children,Urban
25627,Yes,Self-employed,Urban
7122,No,Private,Rural
48755,Yes,Private,Rural
33551,Yes,Private,Urban
62716,Yes,Self-employed,Urban
68438,Yes,Private,Rural
41148,Yes,Private,Urban
14924,Yes,Private,Urban
47950,Yes,Self-employed,Urban
8008,No,Govt_job,Urban
56089,Yes,Private,Rural
9262,Yes,Private,Rural
71896,Yes,Private,Rural
38623,No,Private,Urban
26503,No,Private,Rural
5475,Yes,Private,Rural
15525,Yes,Private,Urban
48748,Yes,Private,Rural
11745,Yes,Private,Urban
17733,No,children,Rural
71591,Yes,Private,Urban
11743,Yes,Private,Urban
67864,Yes,Private,Rural
34857,Yes,Self-employed,Urban
34995,Yes,Private,Rural
3606,No,children,Urban
22952,No,Govt_job,Urban
32554,No,children,Rural
45893,No,children,Urban
72020,Yes,Self-employed,Rural
57879,Yes,Private,Urban
53538,No,children,Urban
17006,No,Private,Rural
36638,Yes,Private,Urban
41097,No,Private,Urban
36618,Yes,Self-employed,Urban
37290,Yes,Self-employed,Rural
54620,Yes,Private,Urban
42108,No,Govt_job,Rural
19681,Yes,Self-employed,Urban
6988,Yes,Self-employed,Urban
25287,Yes,Private,Urban
224,No,Private,Urban
56679,No,Private,Rural
27146,No,Private,Rural
16556,No,Never_worked,Rural
5934,Yes,Private,Urban
58999,Yes,Govt_job,Urban
28261,Yes,Self-employed,Urban
35222,Yes,Private,Urban
44105,Yes,Self-employed,Urban
65256,Yes,Self-employed,Rural
62709,Yes,Private,Rural
36698,Yes,Private,Urban
7273,Yes,Self-employed,Urban
20044,Yes,Private,Rural
54769,No,Private,Urban
57372,No,children,Rural
30605,No,Private,Urban
13622,No,children,Rural
12686,No,Govt_job,Rural
39250,Yes,Private,Urban
2879,No,Self-employed,Urban
59684,No,children,Urban
48830,Yes,Private,Urban
56986,No,Never_worked,Urban
47924,No,Private,Urban
16402,No,children,Urban
40889,No,Private,Rural
4083,No,Private,Rural
59336,Yes,Private,Rural
5684,No,Private,Urban
48843,No,Private,Urban
5694,No,Private,Rural
3673,Yes,Private,Rural
44481,No,Private,Rural
10538,Yes,Self-employed,Urban
9648,Yes,Private,Urban
19101,No,Private,Urban
31867,No,Private,Rural
11973,No,children,Urban
23633,Yes,Private,Rural
52549,Yes,Govt_job,Rural
59178,No,children,Urban
37349,Yes,Private,Rural
44281,No,Private,Rural
